stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
ac4e6691d6abacc0db1730d36a2f3bca,St-Hubert / Duluth,-73.57418417930603,45.522425652788634,20,1,21
420abce19f97c69126eea1d8aab0968b,de Bullion / du Mont-Royal,-73.58498811721802,45.52141314643908,12,5,17
437c8c76473b5f3e273c27b185aee25c,de Lanaudière / Laurier,-73.58373686671257,45.5333136054992,5,17,22
1954f2959d994dd5afe91077c4f446bc,Laval / Duluth,-73.57718793155072,45.51922631024093,14,8,22
8e960ee01aeaabf154ed0de7706cba84,Vallières / St-Laurent,-73.5836161673069,45.518967223320054,8,12,20
e59b690dd831bd4a6e8637c8dccd306b,Duluth / de l'Esplanade,-73.58105599880219,45.515132275425785,10,11,21
297634971ea031c479814effbe61ad09,Hogan / Ontario,-73.55116009712219,45.535295480380306,5,6,11
1d33d8f2ef82be88498c6314d7d4c457,la Fontaine / Alexandre-de-Sève,-73.55799973011017,45.52330366033427,1,17,18
0c1e06741c10b812a0cef5265fa4f76f,Ste-Catherine / Union,-73.56948494911194,45.50373771539475,1,31,32
f287b99d3b1011f3ce2a2db77e0feee9,Chabot / Mont-Royal,-73.57352435588837,45.53413436610844,17,3,20
c5694913d65dff9dc611210fa4aeb71f,Gauthier / Papineau,-73.56733649969101,45.52966629503036,3,18,21
7ade71dc0f1e89d5e60fa41449efd516,Messier / du Mont-Royal,-73.5710031,45.53711414,1,21,22
d7f6bfbc28cb883fec3bf8652faf9e52,Laval / du Mont-Royal,-73.58414590358734,45.5223645775784,10,5,15
650b371db12a750bd2db8da8ecfa0890,Jeanne-Mance / Sherbrooke,-73.57101917266846,45.50928678961862,5,17,22
1013ec013026d8e51b4e126c5c72c5c8,Métro Laurier (Berri / St-Joseph),-73.58672618865965,45.52723106564012,0,17,17
49cad2719afe59f68c6dd729408e7ab5,Pontiac / Gilford,-73.58576595783234,45.527009334270645,8,15,23
f841f00a51ce7d08ecd1ec2f960bfd83,Christophe-Colomb / St-Joseph,-73.58439266681671,45.53036486555959,1,21,22
ee8bc16d40f2c44ec8a99670f13b7646,Cartier / St-Joseph,-73.57869029045105,45.53582823686429,3,16,19
04f6eaaa0d7993020973687c13f41663,Métro Frontenac (Ontario / du Havre),-73.55217933654784,45.533705987798946,16,5,21
9c3782b6814881fa5182a71378ef0412,Prince-Arthur / St-Urbain,-73.57373893260956,45.51258740220925,16,10,26
96a5e4d69af8dd5259395b6843a6f252,Roy / St-Denis,-73.5727,45.51908,18,4,22
d57940b77a62f7a447df3d64a43c6792,Maguire / Henri-Julien,-73.59347056655677,45.527041096087785,2,17,19
4bf11b420dd6c5e710eb76bca801bea0,Laurier / de Brébeuf,-73.58481109142303,45.532513956311426,9,22,31
2b401752439ea66dd57151fa730e496f,Laurier / de Bordeaux,-73.5791677236557,45.53727946481992,7,16,23
4c6ee625de158c398332f0bce7a5ee9f,Henri-Julien / du Carmel,-73.59502326697111,45.52795093787009,3,20,23
e808e34ff5776ce71318665babc70571,Cartier / Masson,-73.58352363109587,45.5380207402854,2,16,18
a3a7c5013570835afae29db254bcf8a9,Parc Ludger-Duvernay (St-André / St-Hubert),-73.59242051839828,45.53147464147482,3,16,19
00ee42c238d3bce0f34a30539810443f,Boucher / St-Denis,-73.59183847904205,45.527930077456865,2,21,23
b299bc3f5212ba3e717cf5916ce62b37,Drolet / Marie-Anne,-73.58117669820786,45.522402573414084,17,2,19
ef7c8f1ab4e9ee9afcdc3c837ea509b9,St-André / Rachel,-73.57596650719643,45.52435318759273,12,3,15
1f04b0f13e33b5717822c81f41e60263,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),-73.58475860237377,45.514866433022796,27,16,43
cf46557eb890581a5631cafc7b9a2bba,Roy / St-André,-73.57036739587784,45.521564270906616,9,11,20
db103ab89d18b15ecbf162aafa67416d,Garnier / St-Joseph,-73.58128666877745,45.5330129192707,1,17,18
4984b46a75d13daa84ced2e45505e4ac,de l'Esplanade / Fairmount,-73.5968267172575,45.521495731487576,12,5,17
05415b92d6d4fa2364f0151216f4386c,Jeanne-Mance / St-Viateur,-73.60184043645859,45.523026476635074,16,5,21
d3a51b0b1043d0371d4803848c5489aa,du Parc-La Fontaine / Duluth,-73.57197672128677,45.52451761488783,20,0,20
9f853a089855c900edfc1688421f8a19,Gilford / de Brébeuf,-73.58157970011233,45.530845821364125,13,6,19
6b5c2cf446547534e31119d37da9dcb9,Casgrain / St-Viateur,-73.59879076480864,45.52751292628879,3,18,21
61913f1d35736d6e9931720b2da53fcd,St-Dominique / Laurier,-73.59245739877223,45.52361490311454,11,9,20
17f0bf69fcab6325e7b61d7d64abdc27,de Bullion / St-Joseph,-73.59015061847458,45.52404631813311,21,2,23
0daffa0f2290fcf3a58b579d914c16cc,de Gaspé / Fairmount,-73.59285570681095,45.52557815939422,0,23,23
8c5edb25c7d2c558040d7cb8461d486b,du Parc-La Fontaine / Roy,-73.56837719678879,45.52286653749578,5,13,18
510a14e4eb76249f0477e2256b4eedd7,de l'Hôtel-de-Ville / Villeneuve,-73.58732756238169,45.52348082760688,10,13,23
2de20e5bca825eb6b82f1fb8c02effbc,de Mentana / Gilford,-73.58371809124947,45.52866947969606,7,16,23
8dfcd2d833a194d09c77461eb0546343,Henri-Julien / Laurier,-73.59033644199371,45.52574657625029,13,9,22
548d982f0a3ef288c42eb4e689272c61,Marquette / Laurier,-73.5822,45.53543,4,23,27
7111cad100bb2d22623271c23277aeb1,Gilford / St-Denis,-73.58563594055795,45.525155180448635,29,8,37
ed38025541fc9ef1a0a96c118bd9628b,Milton / du Parc,-73.57386365532875,45.50936142835129,4,26,30
939bd527ead0d30a6cee8299ce215e7f,Waverly / St-Viateur,-73.60012650489807,45.5238561444472,10,7,17
