category,latitude,longitude,POI,station
restaurant,43.2538302267771,-79.8753935613187,Durand Coffee,5
restaurant,43.2538302267771,-79.8753935613187,Radius,5
restaurant,43.2538302267771,-79.8753935613187,Royal Pizza,5
restaurant,43.2538302267771,-79.8753935613187,Mezcal TNT,5
restaurant,43.2538302267771,-79.8753935613187,Red Crow Coffee,5
restaurant,43.2538302267771,-79.8753935613187,Wass Ethiopian Restaurant,5
restaurant,43.2538302267771,-79.8753935613187,Bronzie's Place,5
restaurant,43.2538302267771,-79.8753935613187,La Piazza Allegra,5
restaurant,43.2538302267771,-79.8753935613187,The George Hamilton,5
park,43.2496354495324,-79.8720555723035,Sam Lawrence Park,6
park,43.2496354495324,-79.8720555723035,Gore Park,6
park,43.2496354495324,-79.8720555723035,Durand Park,6
park,43.2496354495324,-79.8720555723035,Corktown Park,6
park,43.2496354495324,-79.8720555723035,Shamrock Park,6
park,43.2496354495324,-79.8720555723035,Southam Park,6
park,43.2496354495324,-79.8720555723035,City Hall Parkette,6
park,43.2496354495324,-79.8720555723035,Chedoke park,6
park,43.2496354495324,-79.8720555723035,Mountain View Hotel Park,6
park,43.2496354495324,-79.8720555723035,Gore Park Promenade,6
restaurant,43.2496354495324,-79.8720555723035,Red Crow Coffee,6
restaurant,43.2496354495324,-79.8720555723035,Wass Ethiopian Restaurant,6
restaurant,43.2496354495324,-79.8720555723035,Bronzie's Place,6
restaurant,43.2496354495324,-79.8720555723035,One Duke Restaurant & Lounge,6
restaurant,43.2496354495324,-79.8720555723035,Royal Pizza,6
restaurant,43.2496354495324,-79.8720555723035,La Piazza Allegra,6
restaurant,43.2496354495324,-79.8720555723035,Radius,6
restaurant,43.2496354495324,-79.8720555723035,Mezcal TNT,6
restaurant,43.2496354495324,-79.8720555723035,Atlantic Submarines,6
restaurant,43.2496354495324,-79.8720555723035,Subway,6
park,43.26456372689135,-79.8777937889099,Bayfront Park,7
park,43.26456372689135,-79.8777937889099,Premier Fitness Parking Lot,7
park,43.26456372689135,-79.8777937889099,The George Hamilton,7
park,43.26456372689135,-79.8777937889099,York Boulevard Parkade,7
park,43.26456372689135,-79.8777937889099,St Mary's Church,7
park,43.26456372689135,-79.8777937889099,Stonewalls,7
park,43.26456372689135,-79.8777937889099,Victoria Park Community Homes,7
park,43.26456372689135,-79.8777937889099,The Moghul's,7
park,43.26456372689135,-79.8777937889099,Park St Gasworks,7
park,43.26456372689135,-79.8777937889099,Park St. Gas Works - the Meeting House Downtown Hamilton,7
restaurant,43.26456372689135,-79.8777937889099,Stonewalls,7
restaurant,43.26456372689135,-79.8777937889099,Adobo Queen,7
restaurant,43.26456372689135,-79.8777937889099,Buona Vita Pizza,7
restaurant,43.26456372689135,-79.8777937889099,La Luna Restaurant Downtown,7
restaurant,43.26456372689135,-79.8777937889099,Pho Lac Vien,7
restaurant,43.26456372689135,-79.8777937889099,Coop Hamilton,7
restaurant,43.26456372689135,-79.8777937889099,Coop Wicked Chicken Hamilton,7
restaurant,43.26456372689135,-79.8777937889099,Subway,7
restaurant,43.26456372689135,-79.8777937889099,Smoke's Poutinerie,7
restaurant,43.26456372689135,-79.8777937889099,Bastoni's Shawarma & Grill,7
park,43.2618861338306,-79.877606006297,Gore Park,8
park,43.2618861338306,-79.877606006297,City Hall Parkette,8
park,43.2618861338306,-79.877606006297,Chedoke park,8
park,43.2618861338306,-79.877606006297,Gore Park Promenade,8
park,43.2618861338306,-79.877606006297,HAAA Park,8
park,43.2618861338306,-79.877606006297,Premier Fitness Parking Lot,8
park,43.2618861338306,-79.877606006297,HAAA Grounds,8
park,43.2618861338306,-79.877606006297,Jackson Park,8
park,43.2618861338306,-79.877606006297,The George Hamilton,8
park,43.2618861338306,-79.877606006297,York Boulevard Parkade,8
restaurant,43.2618861338306,-79.877606006297,La Luna Restaurant Downtown,8
restaurant,43.2618861338306,-79.877606006297,Buona Vita Pizza,8
restaurant,43.2618861338306,-79.877606006297,Adobo Queen,8
restaurant,43.2618861338306,-79.877606006297,Coop Hamilton,8
restaurant,43.2618861338306,-79.877606006297,Coop Wicked Chicken Hamilton,8
restaurant,43.2618861338306,-79.877606006297,Stonewalls,8
restaurant,43.2618861338306,-79.877606006297,Smoke's Poutinerie,8
restaurant,43.2618861338306,-79.877606006297,Bastoni's Shawarma & Grill,8
restaurant,43.2618861338306,-79.877606006297,Vida la Pita,8
restaurant,43.2618861338306,-79.877606006297,Subway,8
park,43.257877862291,-79.8561337635964,J.C. Beemer Park,9
park,43.257877862291,-79.8561337635964,Jackie Washington Rotary Park,9
park,43.257877862291,-79.8561337635964,Woodlands Park,9
park,43.257877862291,-79.8561337635964,Gore Park Promenade,9
park,43.257877862291,-79.8561337635964,Beasley Park,9
park,43.257877862291,-79.8561337635964,Wellington Square,9
park,43.257877862291,-79.8561337635964,Bishop's Park,9
park,43.257877862291,-79.8561337635964,Beasley Community Centre,9
park,43.257877862291,-79.8561337635964,McLaren Park,9
park,43.257877862291,-79.8561337635964,Birge Park,9
restaurant,43.257877862291,-79.8561337635964,Korea House,9
restaurant,43.257877862291,-79.8561337635964,KFC,9
restaurant,43.257877862291,-79.8561337635964,Plaza Pizza & Wings,9
restaurant,43.257877862291,-79.8561337635964,Denninger Ltd,9
restaurant,43.257877862291,-79.8561337635964,Black Forest Inn,9
restaurant,43.257877862291,-79.8561337635964,Shakespeare's Steak and Seafood,9
restaurant,43.257877862291,-79.8561337635964,La Luna Express,9
restaurant,43.257877862291,-79.8561337635964,A&W Restaurant,9
restaurant,43.257877862291,-79.8561337635964,Ou Cantinho,9
restaurant,43.257877862291,-79.8561337635964,Lulu's Shawarma,9
park,43.26271404114188,-79.91580605506897,Health Sciences Complex Parking Structure,10
park,43.26271404114188,-79.91580605506897,Parking Lot I,10
park,43.26271404114188,-79.91580605506897,Parking Lot a,10
park,43.26271404114188,-79.91580605506897,TCBY,10
park,43.26271404114188,-79.91580605506897,Nannaa Persian Eatery,10
park,43.26271404114188,-79.91580605506897,Security & Parking Svc,10
park,43.26271404114188,-79.91580605506897,Hamilton Car Parks Ltd,10
park,43.26271404114188,-79.91580605506897,Toronto Green P Parking,10
park,43.26271404114188,-79.91580605506897,Churchill Park Clubhouse,10
park,43.26271404114188,-79.91580605506897,Churchill Park Clubhouse,10
restaurant,43.26271404114188,-79.91580605506897,Willy Dog,10
restaurant,43.26271404114188,-79.91580605506897,Pinks Burgers,10
restaurant,43.26271404114188,-79.91580605506897,Corner Cafe,10
restaurant,43.26271404114188,-79.91580605506897,Saigon Asian Restaurant,10
restaurant,43.26271404114188,-79.91580605506897,Basilique,10
restaurant,43.26271404114188,-79.91580605506897,Delirious Burger Co,10
restaurant,43.26271404114188,-79.91580605506897,Subway,10
restaurant,43.26271404114188,-79.91580605506897,Pita Pit,10
restaurant,43.26271404114188,-79.91580605506897,Burrito Bandidos,10
restaurant,43.26271404114188,-79.91580605506897,Williams Coffee Pub,10
